/Folder/Placemark/address;name;phoneNumber;coordinates;snippet;styleUrl
R. Silva Bueno, 691 - Ipiranga, São Paulo - SP, 04208-050;Barbearia Ipiranga;(11) 2658-4879;-46.6018765,-23.5844274,0;R. Silva Bueno, 691 - Ipiranga, São Paulo - SP, 04208-050;#listing_A
R. Xavier Curado, 162 - Ipiranga, São Paulo - SP, 04210-100;Barbearia Mr. Navarro;(11) 3805-6558;-46.60708270000001,-23.5847293,0;R. Xavier Curado, 162 - Ipiranga, São Paulo - SP, 04210-100;#listing_B
R. Bom Pastor, 2351 - Ipiranga, São Paulo - SP, 04203-002;Drive Barbearia I Ipiranga;(11) 2591-2489;-46.60570899999999,-23.5972079,0;R. Bom Pastor, 2351 - Ipiranga, São Paulo - SP, 04203-002;#listing_C
R. Bom Pastor, 2043 - Ipiranga, São Paulo - SP, 04203-052;Gonçalves Bar e Barbearia - Ipiranga, São Paulo;(11) 2063-3733;-46.6064934,-23.5946188,0;R. Bom Pastor, 2043 - Ipiranga, São Paulo - SP, 04203-052;#listing_D
R. Silva Bueno, 902 - Ipiranga, São Paulo - SP, 04208-002;Barbearia Mr. Bueno;(11) 2069-8739;-46.60201969999999,-23.5863446,0;R. Silva Bueno, 902 - Ipiranga, São Paulo - SP, 04208-002;#listing_E
R. Agostinho Gomes, 966 - Ipiranga, São Paulo - SP, 04206-000;Barberô Ipiranga;(11) 96612-9899;-46.6050583,-23.5787578,0;R. Agostinho Gomes, 966 - Ipiranga, São Paulo - SP, 04206-000;#listing_F
R. Bom Pastor, 1464 - Ipiranga, São Paulo - SP, 04203-001;Barbearia do Max;(11) 94509-3927;-46.6073256,-23.5894141,0;R. Bom Pastor, 1464 - Ipiranga, São Paulo - SP, 04203-001;#listing_G
R. Cipriano Barata, 622 - Ipiranga, São Paulo - SP, 04205-000;Rock Barba - Barbearia;(11) 94658-0369;-46.60660739999999,-23.5748862,0;R. Cipriano Barata, 622 - Ipiranga, São Paulo - SP, 04205-000;#listing_H
R. Cipriano Barata, 1337 - Ipiranga, São Paulo - SP, 04205-001;Barbearia Elements - Ipiranga;(11) 98654-5428;-46.6057408,-23.5813743,0;R. Cipriano Barata, 1337 - Ipiranga, São Paulo - SP, 04205-001;#listing_I
R. Silva Bueno, 1940 - Ipiranga, São Paulo - SP, 04208-001;Barbearia Fiori;(11) 2591-6403;-46.601072,-23.5956677,0;R. Silva Bueno, 1940 - Ipiranga, São Paulo - SP, 04208-001;#listing_J
